region,net_gen,dem,tot_energy
Mid-Atlantic,841953684,810260597,31693087
Northwest,381359202,359673967,21685235
Southwest,125025131,110039045,14986086
Central,293901277,283058927,10842350
Southeast,246362780,240916574,5446206
Texas,429029529,430608161,-1578632
Carolinas,221675928,225709140,-4033212
Tennessee,160081920,166041214,-5959294
Florida,246251107,255842485,-9591378
Midwest,700733143,716254560,-15521417
New England,100205667,116924329,-16718662
New York,124370386,152681359,-28310973
California,208942595,273881762,-64939167